offset,topic,payload
1.9875831s,BMS/v1/PUB/Value/Rack/RackLiquidDifferentialPressure/nvidia/titan/pod1C/rowE/rack02/energyValve/dp/feedback/value,"{""value"":190.21,""timestamp"":{{timestamp_ms}},""quality"":1}"
1.9879479s,BMS/v1/PUB/Value/Rack/RackPower/nvidia/titan/pod1C/rowE/rack06/info/power/power/value,"{""value"":36.273003,""timestamp"":{{timestamp_ms}},""quality"":1}"
1.9886911s,BMS/v1/PUB/Value/PowerMeter/ActivePower/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/power/activePower/value,"{""value"":19.097,""timestamp"":{{timestamp_ms}},""quality"":1}"
1.9893561s,BMS/v1/PUB/Value/Rack/RackLiquidDifferentialPressure/nvidia/titan/pod1C/rowE/rack05/energyValve/dp/feedback/value,"{""value"":80.37,""timestamp"":{{timestamp_ms}},""quality"":1}"
1.9900672s,BMS/v1/PUB/Value/PowerMeter/Current/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/current/maxCurrent/value,"{""value"":42.99,""timestamp"":{{timestamp_ms}},""quality"":1}"
1.9902311s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/current/phase2/value,"{""value"":33.514,""timestamp"":{{timestamp_ms}},""quality"":1}"
1.9917411s,BMS/v1/PUB/Value/Rack/RackLiquidDifferentialPressure/nvidia/titan/pod1C/rowE/rack04/energyValve/dp/feedback/value,"{""value"":79.16,""timestamp"":{{timestamp_ms}},""quality"":1}"
1.9919762s,BMS/v1/PUB/Value/Rack/RackPower/nvidia/titan/pod1C/rowE/rack01/info/power/power/value,"{""value"":0.097,""timestamp"":{{timestamp_ms}},""quality"":1}"
1.9921462s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/C-E-BUS-E1/info/current/currentPhase1/value,"{""value"":152.487,""timestamp"":{{timestamp_ms}},""quality"":1}"
2.1438153s,BMS/v1/PUB/Value/Rack/RackLiquidDifferentialPressure/nvidia/titan/pod1C/rowE/rack03/energyValve/dp/feedback/value,"{""value"":79.01,""timestamp"":{{timestamp_ms}},""quality"":1}"
2.1457191s,BMS/v1/PUB/Value/Sensor/AirRelativeHumidity/nvidia/titan/pod1C/rowE/environment/hotAisle/relativeHumidity/rH01/feedback/value,"{""value"":28.643776,""timestamp"":{{timestamp_ms}},""quality"":1}"
2.1469511s,BMS/v1/PUB/Value/Rack/RackLiquidSupplyTemperature/nvidia/titan/pod1C/rowE/rack03/energyValve/supplyTemperature/feedback/value,"{""value"":32.76,""timestamp"":{{timestamp_ms}},""quality"":1}"
2.14763s,BMS/v1/PUB/Value/Rack/RackLiquidFlow/nvidia/titan/pod1C/rowE/rack05/energyValve/flow/feedback/value,"{""value"":51.064,""timestamp"":{{timestamp_ms}},""quality"":1}"
2.1479371s,BMS/v1/PUB/Value/Rack/RackLiquidFlow/nvidia/titan/pod1C/rowE/rack06/energyValve/flow/feedback/value,"{""value"":50.732,""timestamp"":{{timestamp_ms}},""quality"":1}"
2.1485123s,BMS/v1/PUB/Value/Rack/RackLiquidFlow/nvidia/titan/pod1C/rowE/rack02/energyValve/flow/feedback/value,"{""value"":50.719,""timestamp"":{{timestamp_ms}},""quality"":1}"
2.1497571s,BMS/v1/PUB/Value/Rack/RackLiquidFlow/nvidia/titan/pod1C/rowE/rack03/energyValve/flow/feedback/value,"{""value"":50.529,""timestamp"":{{timestamp_ms}},""quality"":1}"
2.1500881s,BMS/v1/PUB/Value/Rack/RackLiquidFlow/nvidia/titan/pod1C/rowE/rack04/energyValve/flow/feedback/value,"{""value"":49.674,""timestamp"":{{timestamp_ms}},""quality"":1}"
2.1510052s,BMS/v1/PUB/Value/Rack/RackLiquidDifferentialPressure/nvidia/titan/pod1C/rowE/rack06/energyValve/dp/feedback/value,"{""value"":81.66,""timestamp"":{{timestamp_ms}},""quality"":1}"
2.1513841s,BMS/v1/PUB/Value/Sensor/AirRelativeHumidity/nvidia/titan/pod1C/rowE/environment/coldAisle/relativeHumidity/rH02/feedback/value,"{""value"":35.96595,""timestamp"":{{timestamp_ms}},""quality"":1}"
2.1540311s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/current/phase1/value,"{""value"":43.005,""timestamp"":{{timestamp_ms}},""quality"":1}"
2.1542163s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/current/phase3/value,"{""value"":43.005,""timestamp"":{{timestamp_ms}},""quality"":1}"
2.1544742s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/current/phase3/value,"{""value"":24.296,""timestamp"":{{timestamp_ms}},""quality"":1}"
2.1555401s,BMS/v1/PUB/Value/PowerMeter/ActivePower/nvidia/titan/pod1C/C-E-BUS-E2/info/activePower/value,"{""value"":111.062,""timestamp"":{{timestamp_ms}},""quality"":1}"
2.1557879s,BMS/v1/PUB/Value/PowerMeter/ApparentPower/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/power/apparentPower/value,"{""value"":19.402,""timestamp"":{{timestamp_ms}},""quality"":1}"
2.1563391s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/current/phase1/value,"{""value"":27.865,""timestamp"":{{timestamp_ms}},""quality"":1}"
2.1565811s,BMS/v1/PUB/Value/PowerMeter/ApparentPower/nvidia/titan/pod1C/C-E-BUS-E2/info/apparentPower/value,"{""value"":112.859,""timestamp"":{{timestamp_ms}},""quality"":1}"
2.1571621s,BMS/v1/PUB/Value/PowerMeter/Current/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/current/current/value,"{""value"":28.814814,""timestamp"":{{timestamp_ms}},""quality"":1}"
2.1578762s,BMS/v1/PUB/Value/PowerMeter/Frequency/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/frequency/value,"{""value"":59.997,""timestamp"":{{timestamp_ms}},""quality"":1}"
2.1582739s,BMS/v1/PUB/Value/PowerMeter/Voltage/nvidia/titan/pod1C/C-E-BUS-E1/info/voltage/voltage/value,"{""value"":408.3,""timestamp"":{{timestamp_ms}},""quality"":1}"
2.1598851s,BMS/v1/PUB/Value/Sensor/AirTemperature/nvidia/titan/pod1C/rowE/environment/hotAisle/temperature/temp01/feedback/value,"{""value"":28.584412,""timestamp"":{{timestamp_ms}},""quality"":1}"
2.1618401s,BMS/v1/PUB/Value/Sensor/Sound/nvidia/titan/pod1C/rowE/environment/hotAisle/sound/sound02/feedback/value,"{""value"":68.50005,""timestamp"":{{timestamp_ms}},""quality"":1}"
2.1620571s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/current/phase2/value,"{""value"":42.906,""timestamp"":{{timestamp_ms}},""quality"":1}"
2.3175741s,BMS/v1/PUB/Value/PowerMeter/Current/nvidia/titan/pod1C/C-E-BUS-E1/info/current/current/value,"{""value"":161.89601,""timestamp"":{{timestamp_ms}},""quality"":1}"
2.3185529s,BMS/v1/PUB/Value/Rack/RackLiquidReturnTemperature/nvidia/titan/pod1C/rowE/rack03/energyValve/returnTemperature/feedback/value,"{""value"":46.03,""timestamp"":{{timestamp_ms}},""quality"":1}"
2.3195141s,BMS/v1/PUB/Value/PowerMeter/Voltage/nvidia/titan/pod1C/C-E-BUS-E2/info/voltage/voltage/value,"{""value"":408.13,""timestamp"":{{timestamp_ms}},""quality"":1}"
2.3209321s,BMS/v1/PUB/Value/Sensor/AirTemperature/nvidia/titan/pod1C/rowE/environment/coldAisle/temperature/temp01/feedback/value,"{""value"":26.405243,""timestamp"":{{timestamp_ms}},""quality"":1}"
2.3240423s,BMS/v1/PUB/Value/PowerMeter/ApparentPower/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/power/apparentPower/value,"{""value"":29.204,""timestamp"":{{timestamp_ms}},""quality"":1}"
2.3260701s,BMS/v1/PUB/Value/Rack/RackLiquidReturnTemperature/nvidia/titan/pod1C/rowE/rack06/energyValve/returnTemperature/feedback/value,"{""value"":43.29,""timestamp"":{{timestamp_ms}},""quality"":1}"
2.3262503s,BMS/v1/PUB/Value/PowerMeter/Current/nvidia/titan/pod1C/C-E-BUS-E2/info/current/current/value,"{""value"":176.81999,""timestamp"":{{timestamp_ms}},""quality"":1}"
2.3264401s,BMS/v1/PUB/Value/Sensor/AirTemperature/nvidia/titan/pod1C/rowE/environment/hotAisle/temperature/temp02/feedback/value,"{""value"":27.728561,""timestamp"":{{timestamp_ms}},""quality"":1}"
2.3271882s,BMS/v1/PUB/Value/Sensor/AirRelativeHumidity/nvidia/titan/pod1C/rowE/environment/hotAisle/relativeHumidity/rH02/feedback/value,"{""value"":29.93614,""timestamp"":{{timestamp_ms}},""quality"":1}"
2.3278681s,BMS/v1/PUB/Value/PowerMeter/Frequency/nvidia/titan/pod1C/C-E-BUS-E2/info/frequency/value,"{""value"":59.996,""timestamp"":{{timestamp_ms}},""quality"":1}"
2.3299061s,BMS/v1/PUB/Value/PowerMeter/Frequency/nvidia/titan/pod1C/C-E-BUS-E1/info/frequency/value,"{""value"":59.995,""timestamp"":{{timestamp_ms}},""quality"":1}"
2.3313572s,BMS/v1/PUB/Value/CDU/LiquidPressure/nvidia/titan/pod1C/C-F00-CDU-05/primary/inlet/pressure/feedback/value,"{""value"":285.44305,""timestamp"":{{timestamp_ms}},""quality"":1}"
2.3332301s,BMS/v1/PUB/Value/Rack/RackLiquidReturnTemperature/nvidia/titan/pod1C/rowE/rack02/energyValve/returnTemperature/feedback/value,"{""value"":42.13,""timestamp"":{{timestamp_ms}},""quality"":1}"
2.334435s,BMS/v1/PUB/Value/PowerMeter/ActivePower/nvidia/titan/pod1C/C-E-BUS-E1/info/activePower/value,"{""value"":103.051,""timestamp"":{{timestamp_ms}},""quality"":1}"
2.3355871s,BMS/v1/PUB/Value/PowerMeter/ApparentPower/nvidia/titan/pod1C/C-E-BUS-E1/info/apparentPower/value,"{""value"":104.67,""timestamp"":{{timestamp_ms}},""quality"":1}"
2.3378021s,BMS/v1/PUB/Value/PowerMeter/ActivePower/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/power/activePower/value,"{""value"":28.742,""timestamp"":{{timestamp_ms}},""quality"":1}"
2.3380321s,BMS/v1/PUB/Value/PowerMeter/Current/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/current/current/value,"{""value"":42.972027,""timestamp"":{{timestamp_ms}},""quality"":1}"
2.3397191s,BMS/v1/PUB/Value/Rack/RackLiquidDifferentialPressure/nvidia/titan/pod1C/rowE/rack02/energyValve/dp/feedback/value,"{""value"":190.15,""timestamp"":{{timestamp_ms}},""quality"":1}"
2.3405701s,BMS/v1/PUB/Value/PowerMeter/Current/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/current/maxCurrent/value,"{""value"":33.528,""timestamp"":{{timestamp_ms}},""quality"":1}"
2.3413691s,BMS/v1/PUB/Value/PowerMeter/ActivePower/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/power/activePower/value,"{""value"":19.098,""timestamp"":{{timestamp_ms}},""quality"":1}"
2.3421511s,BMS/v1/PUB/Value/Rack/RackLiquidReturnTemperature/nvidia/titan/pod1C/rowE/rack05/energyValve/returnTemperature/feedback/value,"{""value"":46.52,""timestamp"":{{timestamp_ms}},""quality"":1}"
2.3423701s,BMS/v1/PUB/Value/Rack/RackLiquidDifferentialPressure/nvidia/titan/pod1C/rowE/rack05/energyValve/dp/feedback/value,"{""value"":80.26,""timestamp"":{{timestamp_ms}},""quality"":1}"
2.3425829s,BMS/v1/PUB/Value/Rack/RackLiquidSupplyTemperature/nvidia/titan/pod1C/rowE/rack04/energyValve/supplyTemperature/feedback/value,"{""value"":33.04,""timestamp"":{{timestamp_ms}},""quality"":1}"
2.3430371s,BMS/v1/PUB/Value/PowerMeter/Current/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/current/maxCurrent/value,"{""value"":43.005,""timestamp"":{{timestamp_ms}},""quality"":1}"
2.3432531s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/current/phase2/value,"{""value"":33.528,""timestamp"":{{timestamp_ms}},""quality"":1}"
2.3444141s,BMS/v1/PUB/Value/Rack/RackLiquidDifferentialPressure/nvidia/titan/pod1C/rowE/rack04/energyValve/dp/feedback/value,"{""value"":79.12,""timestamp"":{{timestamp_ms}},""quality"":1}"
3.1688021s,BMS/v1/PUB/Value/Sensor/AirTemperature/nvidia/titan/pod1C/rowE/environment/coldAisle/temperature/temp02/feedback/value,"{""value"":24.669205,""timestamp"":{{timestamp_ms}},""quality"":1}"
3.1711611s,BMS/v1/PUB/Value/Rack/RackLiquidDifferentialPressure/nvidia/titan/pod1C/rowE/rack03/energyValve/dp/feedback/value,"{""value"":78.93,""timestamp"":{{timestamp_ms}},""quality"":1}"
3.1744221s,BMS/v1/PUB/Value/Rack/RackLiquidSupplyTemperature/nvidia/titan/pod1C/rowE/rack03/energyValve/supplyTemperature/feedback/value,"{""value"":32.75,""timestamp"":{{timestamp_ms}},""quality"":1}"
3.1749051s,BMS/v1/PUB/Value/Rack/RackLiquidFlow/nvidia/titan/pod1C/rowE/rack05/energyValve/flow/feedback/value,"{""value"":51.213,""timestamp"":{{timestamp_ms}},""quality"":1}"
3.1753902s,BMS/v1/PUB/Value/Rack/RackLiquidFlow/nvidia/titan/pod1C/rowE/rack02/energyValve/flow/feedback/value,"{""value"":50.75,""timestamp"":{{timestamp_ms}},""quality"":1}"
3.1760801s,BMS/v1/PUB/Value/Rack/RackLiquidFlow/nvidia/titan/pod1C/rowE/rack03/energyValve/flow/feedback/value,"{""value"":50.804,""timestamp"":{{timestamp_ms}},""quality"":1}"
3.1764242s,BMS/v1/PUB/Value/Rack/RackLiquidFlow/nvidia/titan/pod1C/rowE/rack04/energyValve/flow/feedback/value,"{""value"":50.008,""timestamp"":{{timestamp_ms}},""quality"":1}"
3.1772909s,BMS/v1/PUB/Value/Rack/RackLiquidDifferentialPressure/nvidia/titan/pod1C/rowE/rack06/energyValve/dp/feedback/value,"{""value"":81.57,""timestamp"":{{timestamp_ms}},""quality"":1}"
3.1775501s,BMS/v1/PUB/Value/Sensor/AirRelativeHumidity/nvidia/titan/pod1C/rowE/environment/coldAisle/relativeHumidity/rH02/feedback/value,"{""value"":35.96614,""timestamp"":{{timestamp_ms}},""quality"":1}"
3.1807043s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/current/phase1/value,"{""value"":43.001,""timestamp"":{{timestamp_ms}},""quality"":1}"
3.1810721s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/current/phase3/value,"{""value"":24.297,""timestamp"":{{timestamp_ms}},""quality"":1}"
3.182436s,BMS/v1/PUB/Value/PowerMeter/ActivePower/nvidia/titan/pod1C/C-E-BUS-E2/info/activePower/value,"{""value"":111.078995,""timestamp"":{{timestamp_ms}},""quality"":1}"
3.1915221s,BMS/v1/PUB/Value/PowerMeter/ApparentPower/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/power/apparentPower/value,"{""value"":19.415,""timestamp"":{{timestamp_ms}},""quality"":1}"
3.1924571s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/current/phase1/value,"{""value"":27.861,""timestamp"":{{timestamp_ms}},""quality"":1}"
3.1927521s,BMS/v1/PUB/Value/PowerMeter/ApparentPower/nvidia/titan/pod1C/C-E-BUS-E2/info/apparentPower/value,"{""value"":112.918,""timestamp"":{{timestamp_ms}},""quality"":1}"
3.2003441s,BMS/v1/PUB/Value/PowerMeter/Current/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/current/current/value,"{""value"":28.817684,""timestamp"":{{timestamp_ms}},""quality"":1}"
3.2051691s,BMS/v1/PUB/Value/PowerMeter/Frequency/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/frequency/value,"{""value"":59.995,""timestamp"":{{timestamp_ms}},""quality"":1}"
3.2066061s,BMS/v1/PUB/Value/PowerMeter/Voltage/nvidia/titan/pod1C/C-E-BUS-E1/info/voltage/voltage/value,"{""value"":408.34,""timestamp"":{{timestamp_ms}},""quality"":1}"
3.2113701s,BMS/v1/PUB/Value/Sensor/AirTemperature/nvidia/titan/pod1C/rowE/environment/hotAisle/temperature/temp01/feedback/value,"{""value"":28.584625,""timestamp"":{{timestamp_ms}},""quality"":1}"
3.3206371s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/current/phase2/value,"{""value"":42.916,""timestamp"":{{timestamp_ms}},""quality"":1}"
3.3220269s,BMS/v1/PUB/Value/PowerMeter/Voltage/nvidia/titan/pod1C/C-E-BUS-E2/info/voltage/voltage/value,"{""value"":408.45,""timestamp"":{{timestamp_ms}},""quality"":1}"
3.3222682s,BMS/v1/PUB/Value/Sensor/AirRelativeHumidity/nvidia/titan/pod1C/rowE/environment/coldAisle/relativeHumidity/rH01/feedback/value,"{""value"":32.34625,""timestamp"":{{timestamp_ms}},""quality"":1}"
3.3234151s,BMS/v1/PUB/Value/Sensor/AirTemperature/nvidia/titan/pod1C/rowE/environment/coldAisle/temperature/temp01/feedback/value,"{""value"":26.405075,""timestamp"":{{timestamp_ms}},""quality"":1}"
3.3280671s,BMS/v1/PUB/Value/PowerMeter/ApparentPower/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/power/apparentPower/value,"{""value"":29.211,""timestamp"":{{timestamp_ms}},""quality"":1}"
3.3302741s,BMS/v1/PUB/Value/CDU/LiquidPressure/nvidia/titan/pod1C/C-F00-CDU-05/primary/outlet/pressure/feedback/value,"{""value"":197.87961,""timestamp"":{{timestamp_ms}},""quality"":1}"
3.3322231s,BMS/v1/PUB/Value/Sensor/AirTemperature/nvidia/titan/pod1C/rowE/environment/hotAisle/temperature/temp02/feedback/value,"{""value"":27.727318,""timestamp"":{{timestamp_ms}},""quality"":1}"
3.3334551s,BMS/v1/PUB/Value/Sensor/AirRelativeHumidity/nvidia/titan/pod1C/rowE/environment/hotAisle/relativeHumidity/rH02/feedback/value,"{""value"":29.931187,""timestamp"":{{timestamp_ms}},""quality"":1}"
3.3359891s,BMS/v1/PUB/Value/PowerMeter/Frequency/nvidia/titan/pod1C/C-E-BUS-E1/info/frequency/value,"{""value"":59.997,""timestamp"":{{timestamp_ms}},""quality"":1}"
3.3368423s,BMS/v1/PUB/Value/CDU/LiquidPressure/nvidia/titan/pod1C/C-F00-CDU-05/primary/inlet/pressure/feedback/value,"{""value"":286.82202,""timestamp"":{{timestamp_ms}},""quality"":1}"
3.3393021s,BMS/v1/PUB/Value/PowerMeter/ActivePower/nvidia/titan/pod1C/C-E-BUS-E1/info/activePower/value,"{""value"":103.054,""timestamp"":{{timestamp_ms}},""quality"":1}"
3.3407581s,BMS/v1/PUB/Value/PowerMeter/ApparentPower/nvidia/titan/pod1C/C-E-BUS-E1/info/apparentPower/value,"{""value"":104.653,""timestamp"":{{timestamp_ms}},""quality"":1}"
3.3410811s,BMS/v1/PUB/Value/PowerMeter/Frequency/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/frequency/value,"{""value"":59.995,""timestamp"":{{timestamp_ms}},""quality"":1}"
3.3436721s,BMS/v1/PUB/Value/PowerMeter/ActivePower/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/power/activePower/value,"{""value"":28.745,""timestamp"":{{timestamp_ms}},""quality"":1}"
3.3439042s,BMS/v1/PUB/Value/PowerMeter/Current/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/current/current/value,"{""value"":42.97402,""timestamp"":{{timestamp_ms}},""quality"":1}"
3.3462741s,BMS/v1/PUB/Value/PowerMeter/Current/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/current/maxCurrent/value,"{""value"":33.538,""timestamp"":{{timestamp_ms}},""quality"":1}"
3.3469211s,BMS/v1/PUB/Value/PowerMeter/ActivePower/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/power/activePower/value,"{""value"":19.102,""timestamp"":{{timestamp_ms}},""quality"":1}"
3.3475841s,BMS/v1/PUB/Value/Rack/RackLiquidSupplyTemperature/nvidia/titan/pod1C/rowE/rack04/energyValve/supplyTemperature/feedback/value,"{""value"":33.03,""timestamp"":{{timestamp_ms}},""quality"":1}"
3.3480271s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/current/phase2/value,"{""value"":33.538,""timestamp"":{{timestamp_ms}},""quality"":1}"
3.3494831s,BMS/v1/PUB/Value/Rack/RackLiquidDifferentialPressure/nvidia/titan/pod1C/rowE/rack04/energyValve/dp/feedback/value,"{""value"":79.08,""timestamp"":{{timestamp_ms}},""quality"":1}"
4.1469471s,BMS/v1/PUB/Value/Sensor/AirTemperature/nvidia/titan/pod1C/rowE/environment/coldAisle/temperature/temp02/feedback/value,"{""value"":24.668564,""timestamp"":{{timestamp_ms}},""quality"":1}"
4.1499141s,BMS/v1/PUB/Value/Sensor/AirRelativeHumidity/nvidia/titan/pod1C/rowE/environment/hotAisle/relativeHumidity/rH01/feedback/value,"{""value"":28.64356,""timestamp"":{{timestamp_ms}},""quality"":1}"
4.150841s,BMS/v1/PUB/Value/Rack/RackLiquidSupplyTemperature/nvidia/titan/pod1C/rowE/rack03/energyValve/supplyTemperature/feedback/value,"{""value"":32.76,""timestamp"":{{timestamp_ms}},""quality"":1}"
4.1514171s,BMS/v1/PUB/Value/Rack/RackLiquidFlow/nvidia/titan/pod1C/rowE/rack05/energyValve/flow/feedback/value,"{""value"":51.166,""timestamp"":{{timestamp_ms}},""quality"":1}"
4.1517203s,BMS/v1/PUB/Value/Rack/RackLiquidFlow/nvidia/titan/pod1C/rowE/rack06/energyValve/flow/feedback/value,"{""value"":50.644,""timestamp"":{{timestamp_ms}},""quality"":1}"
4.1531391s,BMS/v1/PUB/Value/Rack/RackLiquidFlow/nvidia/titan/pod1C/rowE/rack03/energyValve/flow/feedback/value,"{""value"":50.222,""timestamp"":{{timestamp_ms}},""quality"":1}"
4.1534081s,BMS/v1/PUB/Value/Rack/RackLiquidFlow/nvidia/titan/pod1C/rowE/rack04/energyValve/flow/feedback/value,"{""value"":50.106,""timestamp"":{{timestamp_ms}},""quality"":1}"
4.1539291s,BMS/v1/PUB/Value/Rack/RackLiquidDifferentialPressure/nvidia/titan/pod1C/rowE/rack06/energyValve/dp/feedback/value,"{""value"":81.39,""timestamp"":{{timestamp_ms}},""quality"":1}"
4.1541879s,BMS/v1/PUB/Value/Sensor/AirRelativeHumidity/nvidia/titan/pod1C/rowE/environment/coldAisle/relativeHumidity/rH02/feedback/value,"{""value"":35.966595,""timestamp"":{{timestamp_ms}},""quality"":1}"
4.1578049s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/current/phase1/value,"{""value"":42.993,""timestamp"":{{timestamp_ms}},""quality"":1}"
4.1581521s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/current/phase3/value,"{""value"":42.968,""timestamp"":{{timestamp_ms}},""quality"":1}"
4.1584103s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/current/phase3/value,"{""value"":24.298,""timestamp"":{{timestamp_ms}},""quality"":1}"
4.1598923s,BMS/v1/PUB/Value/PowerMeter/ActivePower/nvidia/titan/pod1C/C-E-BUS-E2/info/activePower/value,"{""value"":111.073,""timestamp"":{{timestamp_ms}},""quality"":1}"
4.1601881s,BMS/v1/PUB/Value/PowerMeter/ApparentPower/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/power/apparentPower/value,"{""value"":19.414,""timestamp"":{{timestamp_ms}},""quality"":1}"
4.1606921s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/current/phase1/value,"{""value"":27.864,""timestamp"":{{timestamp_ms}},""quality"":1}"
4.1609583s,BMS/v1/PUB/Value/PowerMeter/ApparentPower/nvidia/titan/pod1C/C-E-BUS-E2/info/apparentPower/value,"{""value"":112.925995,""timestamp"":{{timestamp_ms}},""quality"":1}"
4.161644s,BMS/v1/PUB/Value/PowerMeter/Current/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/current/current/value,"{""value"":28.814667,""timestamp"":{{timestamp_ms}},""quality"":1}"
4.1620831s,BMS/v1/PUB/Value/PowerMeter/Frequency/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/frequency/value,"{""value"":59.997,""timestamp"":{{timestamp_ms}},""quality"":1}"
4.1625793s,BMS/v1/PUB/Value/PowerMeter/Voltage/nvidia/titan/pod1C/C-E-BUS-E1/info/voltage/voltage/value,"{""value"":408.35,""timestamp"":{{timestamp_ms}},""quality"":1}"
4.1641661s,BMS/v1/PUB/Value/Sensor/AirTemperature/nvidia/titan/pod1C/rowE/environment/hotAisle/temperature/temp01/feedback/value,"{""value"":28.579842,""timestamp"":{{timestamp_ms}},""quality"":1}"
4.3165769s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/current/phase2/value,"{""value"":42.913,""timestamp"":{{timestamp_ms}},""quality"":1}"
4.3185021s,BMS/v1/PUB/Value/Sensor/Sound/nvidia/titan/pod1C/rowE/environment/coldAisle/sound/sound02/feedback/value,"{""value"":67.50005,""timestamp"":{{timestamp_ms}},""quality"":1}"
4.3188431s,BMS/v1/PUB/Value/PowerMeter/Voltage/nvidia/titan/pod1C/C-E-BUS-E2/info/voltage/voltage/value,"{""value"":408.54,""timestamp"":{{timestamp_ms}},""quality"":1}"
4.3191461s,BMS/v1/PUB/Value/Sensor/AirRelativeHumidity/nvidia/titan/pod1C/rowE/environment/coldAisle/relativeHumidity/rH01/feedback/value,"{""value"":32.34558,""timestamp"":{{timestamp_ms}},""quality"":1}"
4.3202452s,BMS/v1/PUB/Value/Sensor/AirTemperature/nvidia/titan/pod1C/rowE/environment/coldAisle/temperature/temp01/feedback/value,"{""value"":26.405983,""timestamp"":{{timestamp_ms}},""quality"":1}"
4.3238781s,BMS/v1/PUB/Value/PowerMeter/ApparentPower/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/power/apparentPower/value,"{""value"":29.195,""timestamp"":{{timestamp_ms}},""quality"":1}"
4.3252841s,BMS/v1/PUB/Value/CDU/LiquidPressure/nvidia/titan/pod1C/C-F00-CDU-05/primary/outlet/pressure/feedback/value,"{""value"":197.19014,""timestamp"":{{timestamp_ms}},""quality"":1}"
4.32811s,BMS/v1/PUB/Value/Rack/RackLiquidReturnTemperature/nvidia/titan/pod1C/rowE/rack06/energyValve/returnTemperature/feedback/value,"{""value"":43.28,""timestamp"":{{timestamp_ms}},""quality"":1}"
4.3287391s,BMS/v1/PUB/Value/Sensor/AirTemperature/nvidia/titan/pod1C/rowE/environment/hotAisle/temperature/temp02/feedback/value,"{""value"":27.727844,""timestamp"":{{timestamp_ms}},""quality"":1}"
